Date,Close,Open,High,Low,Volume,Up&Down,Rate
2010-05-11,99800,110000,110000,99700,561051,-8200,-7.592592593
2010-05-12,99700,102000,103500,98900,380660,-100,-0.100200401
2010-05-13,99600,102000,103500,99600,238641,-100,-0.100300903
2010-05-14,92400,98600,99300,92400,594783,-7200,-7.228915663
2010-05-17,91500,93600,95000,91100,271437,-900,-0.974025974
2010-05-18,91500,92500,93600,89000,167501,0,0
2010-05-19,92400,91400,92900,90500,158352,900,0.983606557
2010-05-20,87300,92400,92400,85400,253526,-5100,-5.519480519
2010-05-24,87900,86800,88800,86200,95349,600,0.687285223
2010-05-25,83000,87900,88300,80200,159026,-4900,-5.574516496
2010-05-26,82100,83500,84500,80500,177773,-900,-1.084337349
2010-05-27,89000,82500,92000,81500,287871,6900,8.404384896
2010-05-28,91100,91700,93200,89200,234656,2100,2.359550562
2010-05-31,95700,92400,95700,89800,183056,4600,5.049396268
2010-06-01,96500,95600,97200,94800,170225,800,0.835945664
2010-06-03,96700,97600,97900,96300,96368,200,0.207253886
2010-06-04,99100,96700,99700,96700,234796,2400,2.481902792
2010-06-07,93900,95600,96800,93400,138375,-5200,-5.247225025
2010-06-08,93400,93900,94600,92400,136775,-500,-0.532481363
2010-06-09,95600,93400,97700,92800,140148,2200,2.355460385
2010-06-10,96200,96600,98400,96000,112216,600,0.627615063
2010-06-11,99400,98200,99500,97600,112035,3200,3.326403326
2010-06-14,97900,100000,100500,97600,75795,-1500,-1.509054326
2010-06-15,98100,98200,100500,97000,81578,200,0.204290092
2010-06-16,99400,100000,100000,98100,64995,1300,1.325178389
2010-06-17,96000,99600,101000,96000,138763,-3400,-3.420523139
2010-06-18,97400,96500,98000,96100,70718,1400,1.458333333
2010-06-21,102500,99400,102500,98700,149702,5100,5.23613963
2010-06-22,106000,101000,106500,100500,211590,3500,3.414634146
2010-06-23,104500,104000,106000,102500,146284,-1500,-1.41509434
2010-06-24,107000,105000,110500,104500,311480,2500,2.392344498
2010-06-25,106000,105000,109000,105000,125110,-1000,-0.934579439
2010-06-28,108500,106000,109000,105500,96469,2500,2.358490566
2010-06-29,109000,109500,114000,108500,353859,500,0.460829493
2010-06-30,111500,107000,113000,105000,246509,2500,2.293577982
2010-07-01,113000,111500,114000,108500,186938,1500,1.34529148
2010-07-02,105500,111500,112500,103000,249017,-7500,-6.637168142
2010-07-05,107000,104500,107000,101500,93911,1500,1.421800948
2010-07-06,105500,105000,106500,102000,251212,-1500,-1.401869159
2010-07-07,99100,104500,105500,99000,368980,-6400,-6.066350711
2010-07-08,99000,100500,101500,98500,260355,-100,-0.100908174
2010-07-09,101000,100000,104000,99900,235245,2000,2.02020202
2010-07-12,100000,102000,102500,99900,122971,-1000,-0.99009901
2010-07-13,106000,100500,106500,100500,272333,6000,6
2010-07-14,109500,108000,110000,106000,242216,3500,3.301886792
2010-07-15,108500,109000,109500,106500,152501,-1000,-0.913242009
2010-07-16,105000,109500,110500,104500,187061,-3500,-3.225806452
2010-07-19,112000,103000,112000,103000,225390,7000,6.666666667
2010-07-20,111000,111000,113000,109000,189622,-1000,-0.892857143
2010-07-21,115000,112000,116000,111500,269197,4000,3.603603604
2010-07-22,118000,114500,120500,112500,375356,3000,2.608695652
2010-07-23,122500,121000,124000,118500,350512,4500,3.813559322
2010-07-26,121000,120500,122500,118500,167143,-1500,-1.224489796
2010-07-27,122000,122000,125000,120500,145071,1000,0.826446281
2010-07-28,118000,123500,124000,113500,307438,-4000,-3.278688525
2010-07-29,118000,116500,122500,116000,235570,0,0
2010-07-30,114500,119500,122500,114500,248199,-3500,-2.966101695
2010-08-02,117000,114500,118000,112500,221658,2500,2.183406114
2010-08-03,121000,119500,121500,119000,159505,4000,3.418803419
2010-08-04,118000,114500,118500,112000,569632,-3000,-2.479338843
2010-08-05,117500,118000,118000,115500,161067,-500,-0.423728814
2010-08-06,117000,116500,120500,115000,116206,-500,-0.425531915
2010-08-09,125000,118000,125000,117000,245004,8000,6.837606838
2010-08-10,128000,125000,129000,123000,276828,3000,2.4
2010-08-11,128000,129000,134000,127000,388955,0,0
2010-08-12,125000,126500,130000,125000,180230,-3000,-2.34375
